0,NUMBER,Quest. A1,Quest. A1 bis,A2,A3,A4,A5,A5 bis,A6,A7,A8,A9,B1,B1 bis,B2,B3,B3 bis,B4,B4 bis,B5,B5 bis,C1,C1 bis,C2,C2 bis,C3,C3 bis,C4,COMMENTS(C4)
119,S39,1,Italy,2,2,8,11,19,2,2,"geography, geology, astronomy, earthquake, volcanoes, tectonic plate",1,1.0-2.0-4.0-5.0-7.0,0,2,0,0,2.0-3.0,0,1.0-2.0,0,2.0-3.0-4.0-6.0,0,2.0-3.0,0,1.0-2.0,0,2,0
120,S40,26,United States,1,2,0,12,18,5,3,earth science,2,1.0-2.0-3.0-4.0-5.0-6.0-7.0,0,1,1,global climate change specifically polar regions,2.0-3.0-4.0-5.0-6.0,visitor to classroom included in differentiation,2.0-3.0,0,3.0-4.0-5.0-6.0,0,2.0-3.0-4.0-5.0,0,1.0-2.0-3.0-4.0,0,1,"various searcher, Amnh, discovery, NGSS"
121,S41,26,United States,6,3,0,12,18,4,1,all,0,1.0-2.0-3.0-4.0-5.0-6.0-7.0,0,1,1,NGSS,2.0-3.0,0,1.0-2.0-3.0-5.0,Labs,2.0-3.0-5.0-6.0,0,2.0-3.0-4.0,0,5,"time, grouping of students",1,google
122,S42,9,Romania,3,3,4,14,19,10,3,"gravitational field, Magnetic field, Quarks, rediations",1,1.0-2.0-3.0-4.0-5.0-7.0,0,4,1,sismology,1.0-2.0-3.0-4.0-5.0,0,1.0-2.0-3.0,0,3.0-5.0-7.0,"books, manual",1,0,1,0,1,"mouvie, site resource"
123,S43,26,United States,6,3,2,11,18,10,1,environmental science,1,1.0-2.0-3.0-4.0-5.0-7.0-8.0,0,1,2,0,1.0-2.0-3.0,0,2.0-3.0,0,3.0-6.0,0,1.0-2.0-3.0,0,1.0-2.0-3.0-4.0,0,1,serc. carleton
124,S44,1,Italy,2,2,0,0,0,0,2,0,1,3.0-5.0,0,1,2,0,1,0,2,0,2.0-6.0,0,2.0-3.0,0,1.0-3.0,0,0,0
125,S45,4,Austria,3,3,5,14,19,2,2,"yes, geology and mining",2,1.0-2.0-4.0-5.0-7.0,0,4,1,going outdoor fieldwork,5.0,0,1,,2.0-6.0,0,1.0-3.0-5.0,0,1.0-3.0-4.0,0,2,0
126,S46,9,Romania,0,3,7,10,17,1,3,yes there are,2,1.0-2.0-3.0-4.0-7.0,0,4,2,0,1.0-3.0,0,4.0-5.0,and pratical assessments,3.0-5.0-6.0,0,2.0-3.0-4.0-5.0,0,2.0-4.0,0,1,eduscol a french internet tool for teachers
127,S47,26,United States,6,3,4,12,0,0,1,0,2,1.0-2.0-3.0-4.0-5.0-6.0-7.0,0,1,1,NGSS,2.0-3.0,0,1.0-2.0-3.0-5.0,Labs,2.0-3.0-4.0-6.0,0,2.0-3.0-4.0-5.0,0,1.0-3.0-4.0-5.0,Time,1,"NOAA, SPL, NASA, timestoc"
128,S48,19,Croatia,5,2,4,14,19,2,1,"Plate tectonics, rocks, geology, climatology, hydrology, biology, soil",2,1.0-2.0-3.0-4.0-5.0-6.0-7.0,0,4,2,0,1,0,1,0,2.0-3.0,0,2.0-3.0-5.0,0,1.0-2.0-4.0,0,2,0
129,S49,6,Portugal,1,3,3,14,0,0,3,1,2,1.0-2.0-4.0-6.0-7.0,0,4,2,0,1.0-2.0-3.0-5.0,0,1.0-2.0-3.0,0,2.0-3.0-6.0-7.0,outdoors experience,3.0-4.0-5.0,0,1.0-3.0-4.0,0,2,0
130,S50,6,Portugal,1,3,3,15,0,7,3,1,2,1.0-2.0-4.0-7.0,0,4,2,0,1.0-2.0-3.0,0,1.0-2.0-4.0,0,2.0-3.0-6.0,0,3.0-5.0,0,4,0,2,0
131,S51,6,Portugal,1,3,3,15,18,10,3,1,3,1.0-2.0-3.0-4.0-5.0-7.0,0,4,2,0,2,0,1,0,2.0-6.0,0,5,0,2,0,1,youtube
132,S52,6,Portugal,1,3,3,15,19,10,3,0,2,1.0-2.0-3.0-4.0-5.0-7.0,0,4,2,0,2,0,4,0,3.0-6.0,0,3,0,4,0,1,outdoor experience
133,S53,6,Portugal,1,3,3,15,18,7,3,1,2,1.0-2.0-4.0-6.0,0,4,2,0,2,0,4,0,2.0-6.0,0,3,0,4,0,1,0
134,S54,9,Romania,1,3,4,10,14,4,2,"natural hazards, atmosphere",4,1.0-2.0,0,4,1,Natural Hazard and sustainable development - for 11 grade,2.0-3.0-5.0,0,4,0,2.0-3.0,0,2.0-3.0,0,1.0-2.0,0,1,0
135,S55,17,Serbia,1,1,4,15,19,1,2,geography,1,1.0-2.0-3.0-4.0-5.0-6.0-7.0,0,0,2,0,1,0,1.0-2.0-3.0,0,2.0-3.0,0,1.0-2.0-3.0-4.0-5.0,0,2.0-4.0,0,0,0
136,S56,24,Turkey,1,1,4,11,13,1,3,0,3,2.0-5.0-7.0,0,4,0,0,1.0-2.0-3.0,0,2.0-3.0,0,2.0-3.0-5.0,0,2.0-3.0-5.0,0,1.0-2.0,0,1,Nasa education
137,S57,6,Portugal,1,2,3,15,17,0,1,"Sciences, geology, physics (Middle school)",1,1.0-2.0-3.0-4.0-7.0,0,4,2,0,1.0-2.0-3.0-5.0,0,1.0-2.0,0,2.0-3.0-5.0,0,2.0-3.0-5.0,0,1.0-2.0,0,1,TED education videos
